Project Name,Description,API URL,Github URL,Last Updated,Link URL,Organization Name,Organization API URL,Organization City,Organization Website,,,,,,,,,,
doubleoffshore,Offshore drilling platforms near the coast of Nigeria,http://codeforamerica.org/api/projects/36013,https://github.com/CodeForAfrica/doubleoffshore,Offshore drilling platforms near the coast of Nigeria,(null),Code for Nigeria,http://codeforamerica.org/api/organizations/Code-for-Nigeria,Lagos_ Nigeria,http://code4nigeria.org,,,,,,,,,,
doubleoffshore,Offshore drilling platforms near the coast of Nigeria,http://codeforamerica.org/api/projects/35959,https://github.com/CodeForAfrica/doubleoffshore,Offshore drilling platforms near the coast of Nigeria,(null),Code for Africa,http://codeforamerica.org/api/organizations/Code-for-Africa,,http://www.codeforafrica.org/,,,,,,,,,,
doubleoffshore,Offshore drilling platforms near the coast of Nigeria,http://codeforamerica.org/api/projects/35994,https://github.com/CodeForAfrica/doubleoffshore,Offshore drilling platforms near the coast of Nigeria,(null),Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,,,,,
Boston Green,Boston Green Map - A map promoting green spaces in Metro Boston.,http://codeforamerica.org/api/projects/36695,https://github.com/codeforboston/bostongreenmap,Boston Green Map - A map promoting green spaces in Metro Boston.,http://www.bostongreenmap.org,Code for Boston,http://codeforamerica.org/api/organizations/Code-for-Boston,Boston_ MA,http://www.codeforboston.org,,,,,,,,,,
midas,Innovation platform and collaboration marketplace,http://codeforamerica.org/api/projects/34292,https://github.com/18F/midas,Innovation platform and collaboration marketplace,https://midas-dev.18f.us/,18F,http://codeforamerica.org/api/organizations/18F,San Francisco_ CA,https://18f.gsa.gov/,,,,,,,,,,
files,A metarepository for Code for DC files of various sorts,http://codeforamerica.org/api/projects/34369,https://github.com/codefordc/files,A metarepository for Code for DC files of various sorts,(null),Code for DC,http://codeforamerica.org/api/organizations/Code-for-DC,Washington_ DC,http://codefordc.org/,,,,,,,,,,
TimelineJS,TimelineJS: A Storytelling Timeline built in JavaScript.,http://codeforamerica.org/api/projects/34175,https://github.com/NUKnightLab/TimelineJS,TimelineJS: A Storytelling Timeline built in JavaScript.,http://timeline.knightlab.com,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
fixmystreet,This is mySociety's popular map-based reporting platform: easy to install in new countries and regions,http://codeforamerica.org/api/projects/35774,https://github.com/mysociety/fixmystreet,This is mySociety's popular map-based reporting platform: easy to install in new countries and regions,http://fixmystreet.org/,mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
clearstreets-web,Website that tracks where Chicago plows have been during a snowstorm.,http://codeforamerica.org/api/projects/34164,https://github.com/open-city/clearstreets-web,Website that tracks where Chicago plows have been during a snowstorm.,http://clearstreets.org,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
Rehnuma,Simplified City Answers,http://codeforamerica.org/api/projects/34885,https://github.com/codeforpakistan/Rehnuma,Simplified City Answers,www.kprehnuma.info,Code for Pakistan,http://codeforamerica.org/api/organizations/Code-for-Pakistan,Lahore_ Pakistan,http://www.codeforpakistan.org/code-for-all-brigades.html,,,,,,,,,,
yournextmp-popit,An experimental front-end to PopIt for 2015 GE candidates,http://codeforamerica.org/api/projects/35851,https://github.com/mysociety/yournextmp-popit,An experimental front-end to PopIt for 2015 GE candidates,http://yournextmp.mysociety.org,mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
chicago-early-learning,Chicago Early Learning is a website for exploring early learning programs in Chicago and comparing them side-by-side. Also contains a text feature.,http://codeforamerica.org/api/projects/32929,https://github.com/smartchicago/chicago-early-learning,Chicago Early Learning is a website for exploring early learning programs in Chicago and comparing them side-by-side. Also contains a text feature.,http://chicagoearlylearning.org/,Smart Chicago Collaborative,http://codeforamerica.org/api/organizations/Smart-Chicago-Collaborative,Chicago_ IL,http://www.smartchicagocollaborative.org/,,,,,,,,,,
chicago-early-learning,Chicago Early Learning is a website for exploring early learning programs in Chicago and comparing them side-by-side. Also contains a text feature.,http://codeforamerica.org/api/projects/35922,https://github.com/smartchicago/chicago-early-learning,Chicago Early Learning is a website for exploring early learning programs in Chicago and comparing them side-by-side. Also contains a text feature.,http://chicagoearlylearning.org/,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
