Project Name,Description,API URL,Github URL,Last Updated,Link URL,Organization Name,Organization API URL,Organization City,Organization Website,,,,,,,,,,
ccj-scraper,A scraper,http://codeforamerica.org/api/projects/36849,https://github.com/sc3/ccj-scraper,A scraper,(null),FreeGeekChicago,http://codeforamerica.org/api/organizations/FreeGeekChicago,Chicago_ IL,http://www.freegeekchicago.org/,,,,,,,,,,
university_of_ryukyus,2014/06/19で話す資料置き場。,http://codeforamerica.org/api/projects/33245,https://github.com/CodeforOkinawa/university_of_ryukyus,2014/06/19で話す資料置き場。,(null),Code for Okinawa,http://codeforamerica.org/api/organizations/Code-for-Okinawa,Okinawa_ Japan,http://code4okinawa.org/,,,,,,,,,,
evented,An aggregator of Dayton,OH community events for redistribution via API.,http://codeforamerica.org/api/projects/33309,https://github.com/codefordayton/evented,An aggregator of Dayton,OH community events for redistribution via API.,(null),Code for Dayton,http://codeforamerica.org/api/organizations/Code-for-Dayton,Dayton_ OH,http://codefordayton.org/,,,,,,,,
ama.js,A Javascript library that helps connect to the AMA (Autoridad Metropolitana de Autobuses) API.,http://codeforamerica.org/api/projects/34656,https://github.com/Code4PuertoRico/ama.js,A Javascript library that helps connect to the AMA (Autoridad Metropolitana de Autobuses) API.,(null),Code4PuertoRico,http://codeforamerica.org/api/organizations/Code4PuertoRico,San Juan_ PR,http://code4puertorico.org/,,,,,,,,,,
sink-the-vote,A little #crosshack around voter disenfranchisement.,http://codeforamerica.org/api/projects/36563,https://github.com/codeforamerica/sink-the-vote,A little #crosshack around voter disenfranchisement.,sinkthevote.com,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
poplus-theme,Shared Sass theme for Poplus component sites like mapit.poplus.org and popit.poplus.org,http://codeforamerica.org/api/projects/35824,https://github.com/mysociety/poplus-theme,Shared Sass theme for Poplus component sites like mapit.poplus.org and popit.poplus.org,(null),mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
abroadplay,公務員出國考察追蹤網,http://codeforamerica.org/api/projects/34389,https://github.com/g0v/abroadplay,公務員出國考察追蹤網,http://report.nat.g0v.tw/,g0v.tw,http://codeforamerica.org/api/organizations/g0v.tw,Taipei_ Taiwan,http://g0v.tw/,,,,,,,,,,
foodrescue,,http://codeforamerica.org/api/projects/34744,https://github.com/codeforbtv/foodrescue,,(null),Code for BTV,http://codeforamerica.org/api/organizations/Code-for-BTV,Burlington_ VT,http://codeforbtv.org/,,,,,,,,,,
skillcamp,A #crosshack project that makes it easy for fellows to share the things they teach others.,http://codeforamerica.org/api/projects/36565,https://github.com/codeforamerica/skillcamp,A #crosshack project that makes it easy for fellows to share the things they teach others.,http://skill.camp/,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
vt-map-maker,VT Map Maker,http://codeforamerica.org/api/projects/34753,https://github.com/codeforbtv/vt-map-maker,VT Map Maker,(null),Code for BTV,http://codeforamerica.org/api/organizations/Code-for-BTV,Burlington_ VT,http://codeforbtv.org/,,,,,,,,,,
Philly Police Droid,Philly Police Droid,http://codeforamerica.org/api/projects/36794,https://github.com/csskfulton/Phila-Police-News-Mobile-App--Android-,Philly Police Droid,https://github.com/csskfulton/Phila-Police-News-Mobile-App--Android-,Code for Philly,http://codeforamerica.org/api/organizations/Code-for-Philly,Philadelphia_ PA,http://codeforphilly.org/,,,,,,,,,,
codefortomorrow.github.com,主要為記錄 CfT 發展的 wiki 編寫。,http://codeforamerica.org/api/projects/32984,https://github.com/codefortomorrow/codefortomorrow.github.com,主要為記錄 CfT 發展的 wiki 編寫。,https://github.com/codefortomorrow/codefortomorrow.github.com/wiki,Code for Tomorrow,http://codeforamerica.org/api/organizations/Code-for-Tomorrow,Taiwan,http://codefortomorrow.org/,,,,,,,,,,
hviab,Finding Hidden Value in Abandoned Buildings,http://codeforamerica.org/api/projects/34138,https://github.com/dnfehren/hviab,Finding Hidden Value in Abandoned Buildings,http://hviab.herokuapp.com/,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
InformaRepo,InformaCam Storage,Analytics,Dashboard system,http://codeforamerica.org/api/projects/35976,https://github.com/CodeForAfrica/InformaRepo,InformaCam Storage,Analytics,Dashboard system,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Africa,http://codeforamerica.org/api/organizations/Code-for-Africa,,http://www.codeforafrica.org/,,,,,,
InformaRepo,InformaCam Storage,Analytics,Dashboard system,http://codeforamerica.org/api/projects/36030,https://github.com/CodeForAfrica/InformaRepo,InformaCam Storage,Analytics,Dashboard system,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Nigeria,http://codeforamerica.org/api/organizations/Code-for-Nigeria,Lagos_ Nigeria,http://code4nigeria.org,,,,,,
InformaRepo,InformaCam Storage,Analytics,Dashboard system,http://codeforamerica.org/api/projects/33184,https://github.com/CodeForAfrica/InformaRepo,InformaCam Storage,Analytics,Dashboard system,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,
InformaRepo,InformaCam Storage,Analytics,Dashboard system,http://codeforamerica.org/api/projects/35900,https://github.com/CodeForAfrica/InformaRepo,InformaCam Storage,Analytics,Dashboard system,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Kenya,http://codeforamerica.org/api/organizations/Code-for-Kenya,Nairobi_ Kenya,http://code4kenya.org,,,,,,
InformaCore,InformaCam Android Core Service Library,http://codeforamerica.org/api/projects/35975,https://github.com/CodeForAfrica/InformaCore,InformaCam Android Core Service Library,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Africa,http://codeforamerica.org/api/organizations/Code-for-Africa,,http://www.codeforafrica.org/,,,,,,,,,,
InformaCore,InformaCam Android Core Service Library,http://codeforamerica.org/api/projects/33183,https://github.com/CodeForAfrica/InformaCore,InformaCam Android Core Service Library,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,,,,,
InformaCore,InformaCam Android Core Service Library,http://codeforamerica.org/api/projects/35899,https://github.com/CodeForAfrica/InformaCore,InformaCam Android Core Service Library,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Kenya,http://codeforamerica.org/api/organizations/Code-for-Kenya,Nairobi_ Kenya,http://code4kenya.org,,,,,,,,,,
InformaCore,InformaCam Android Core Service Library,http://codeforamerica.org/api/projects/36029,https://github.com/CodeForAfrica/InformaCore,InformaCam Android Core Service Library,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Nigeria,http://codeforamerica.org/api/organizations/Code-for-Nigeria,Lagos_ Nigeria,http://code4nigeria.org,,,,,,,,,,
InformaApp,InformaCam Default Android App,http://codeforamerica.org/api/projects/35974,https://github.com/CodeForAfrica/InformaApp,InformaCam Default Android App,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Africa,http://codeforamerica.org/api/organizations/Code-for-Africa,,http://www.codeforafrica.org/,,,,,,,,,,
InformaApp,InformaCam Default Android App,http://codeforamerica.org/api/projects/35898,https://github.com/CodeForAfrica/InformaApp,InformaCam Default Android App,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Kenya,http://codeforamerica.org/api/organizations/Code-for-Kenya,Nairobi_ Kenya,http://code4kenya.org,,,,,,,,,,
InformaApp,InformaCam Default Android App,http://codeforamerica.org/api/projects/36028,https://github.com/CodeForAfrica/InformaApp,InformaCam Default Android App,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Nigeria,http://codeforamerica.org/api/organizations/Code-for-Nigeria,Lagos_ Nigeria,http://code4nigeria.org,,,,,,,,,,
InformaApp,InformaCam Default Android App,http://codeforamerica.org/api/projects/33182,https://github.com/CodeForAfrica/InformaApp,InformaCam Default Android App,https://dev.guardianproject.info/projects/informacam/wiki/Overview,Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,,,,,
crimeweatherupdater,Celery tasks to load new data for http://crime.static-eric.com,http://codeforamerica.org/api/projects/34136,https://github.com/evz/crimeweatherupdater,Celery tasks to load new data for http://crime.static-eric.com,(null),Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
ckan-cookbook,A Chef cookbook to get you up and running with CKAN,http://codeforamerica.org/api/projects/35220,https://github.com/openlexington/ckan-cookbook,A Chef cookbook to get you up and running with CKAN,,Open Lexington,http://codeforamerica.org/api/organizations/Open-Lexington,Lexington_ KY,http://openlexington.org/,,,,,,,,,,
mymetro,A hyperlocal civic notification app,http://codeforamerica.org/api/projects/35087,https://github.com/friendlycode/mymetro,A hyperlocal civic notification app,http://mymetro.herokuapp.com/,Friendly Code,http://codeforamerica.org/api/organizations/Friendly-Code,Grand Rapids_ MI,http://friendlycode.org/,,,,,,,,,,
HAB-Detection,,http://codeforamerica.org/api/projects/31258,https://github.com/CodeforBirmingham/HAB-Detection,,(null),Code for Birmingham,http://codeforamerica.org/api/organizations/Code-for-Birmingham,Birmingham_ AL,http://www.codeforbirmingham.org/,,,,,,,,,,
vrs-scraper,Scrapes station information from VRS (vrsinfo.de),http://codeforamerica.org/api/projects/35133,https://github.com/KoelnAPI/vrs-scraper,Scrapes station information from VRS (vrsinfo.de),(null),OK Lab Köln,http://codeforamerica.org/api/organizations/OK-Lab-Köln,Cologne_ Germany,http://codefor.de/koeln,,,,,,,,,,
It's a Good Day,It's a good day,it's a national day of civic hacking.,http://codeforamerica.org/api/projects/36694,https://github.com/codeforboston/itsagoodday,It's a good day,it's a national day of civic hacking.,https://www.youtube.com/watch?v=WeTIIrCyZLQ,Code for Boston,http://codeforamerica.org/api/organizations/Code-for-Boston,Boston_ MA,http://www.codeforboston.org,,,,,,,,
foodborne_classifier,The classifier used in the http://foodborne.smartchicagoapps.org/ application.,http://codeforamerica.org/api/projects/32944,https://github.com/smartchicago/foodborne_classifier,The classifier used in the http://foodborne.smartchicagoapps.org/ application.,(null),Smart Chicago Collaborative,http://codeforamerica.org/api/organizations/Smart-Chicago-Collaborative,Chicago_ IL,http://www.smartchicagocollaborative.org/,,,,,,,,,,
component-library,A library of reusable front-end components,http://codeforamerica.org/api/projects/35761,https://github.com/mysociety/component-library,A library of reusable front-end components,(null),mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
wheresmyschoolbus,jquery mobile + rails app that shows you where your school bus is,http://codeforamerica.org/api/projects/36627,https://github.com/codeforamerica/wheresmyschoolbus,jquery mobile + rails app that shows you where your school bus is,http://schoolbus.bostonpublicschools.org,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
bizfriendly-web,A web service to teach web services.,http://codeforamerica.org/api/projects/33464,https://github.com/codeforkansascity/bizfriendly-web,A web service to teach web services.,http://codeforkansascity.github.io/bizfriendly-web/,Code for Kansas City,http://codeforamerica.org/api/organizations/Code-for-Kansas-City,Kansas City_ KS & MO,http://codeforkc.org/,,,,,,,,,,
s3sync_cookbooks,,http://codeforamerica.org/api/projects/34650,https://github.com/presidential-innovation-fellows/s3sync_cookbooks,,(null),Presidential Innovation Fellows,http://codeforamerica.org/api/organizations/Presidential-Innovation-Fellows,Washington_ DC,http://presidentialinnovation.org/,,,,,,,,,,
summitbeta,Planning,documentation,design for BETA (A tiny Code for America conference),http://codeforamerica.org/api/projects/36589,https://github.com/codeforamerica/summitbeta,Planning,documentation,design for BETA (A tiny Code for America conference),,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,
transitparty,Visualizing the Omaha Metro transit system,http://codeforamerica.org/api/projects/33267,https://github.com/opennebraska/transitparty,Visualizing the Omaha Metro transit system,http://transitparty.opennebraska.io/,Open Nebraska,http://codeforamerica.org/api/organizations/Open-Nebraska,Omaha_ NE,http://opennebraska.io/,,,,,,,,,,
workforsa,,http://codeforamerica.org/api/projects/33017,https://github.com/opensatx/workforsa,,http://workforsa.webflow.com/,Open San Antonio,http://codeforamerica.org/api/organizations/Open-San-Antonio,San Antonio_ TX,http://opensatx.org/,,,,,,,,,,
workforamerica,Uncle Sam for a modern tech world.,http://codeforamerica.org/api/projects/33016,https://github.com/opensatx/workforamerica,Uncle Sam for a modern tech world.,(null),Open San Antonio,http://codeforamerica.org/api/organizations/Open-San-Antonio,San Antonio_ TX,http://opensatx.org/,,,,,,,,,,
artaround-web,ArtAround: The Website.,http://codeforamerica.org/api/projects/33423,https://github.com/code4sac/artaround-web,ArtAround: The Website.,http://theartaround.us,Code for Sacramento,http://codeforamerica.org/api/organizations/Code-for-Sacramento,Sacramento_ CA,http://codeforsacramento.org/,,,,,,,,,,
Oakland Answers,Redeploy of Honolulu Answers,simple interface for resident questions for local government,http://codeforamerica.org/api/projects/32835,https://github.com/openoakland/oakland_answers,Redeploy of Honolulu Answers,simple interface for resident questions for local government,http://answers.oaklandnet.com,Open Oakland,http://codeforamerica.org/api/organizations/Open-Oakland,Oakland_ CA,http://openoakland.org/,,,,,,,,
sacramento_answers,Easy answers to citizens questions,http://codeforamerica.org/api/projects/33458,https://github.com/code4sac/sacramento_answers,Easy answers to citizens questions,http://answers.code4sac.org,Code for Sacramento,http://codeforamerica.org/api/organizations/Code-for-Sacramento,Sacramento_ CA,http://codeforsacramento.org/,,,,,,,,,,
trolley-tracker-app,,http://codeforamerica.org/api/projects/33534,https://github.com/Code-for-Miami/trolley-tracker-app,,(null),Code for Miami,http://codeforamerica.org/api/organizations/Code-for-Miami,Miami_ FL,http://codeformiami.org/,,,,,,,,,,
shareabouts,Shareabouts is a mapping application for crowdsourced info gathering.,http://codeforamerica.org/api/projects/33346,https://github.com/civicdata/shareabouts,Shareabouts is a mapping application for crowdsourced info gathering.,,Civic Data Alliance,http://codeforamerica.org/api/organizations/Civic-Data-Alliance,Louisville_ KY,http://www.civicdataalliance.org/,,,,,,,,,,
mkeadiff,,http://codeforamerica.org/api/projects/34936,https://github.com/codeforsanjose/mkeadiff,,(null),Code for San Jose,http://codeforamerica.org/api/organizations/Code-for-San-Jose,San Jose_ CA,http://codeforsanjose.com/,,,,,,,,,,
python-Screen-Scraper,python-Screen-Scraper,http://codeforamerica.org/api/projects/34940,https://github.com/codeforsanjose/python-Screen-Scraper,python-Screen-Scraper,(null),Code for San Jose,http://codeforamerica.org/api/organizations/Code-for-San-Jose,San Jose_ CA,http://codeforsanjose.com/,,,,,,,,,,
hack-to-the-future,Hack to the Future Workshop Code,http://codeforamerica.org/api/projects/34755,https://github.com/CodeforHawaii/hack-to-the-future,Hack to the Future Workshop Code,(null),Code for Hawaii,http://codeforamerica.org/api/organizations/Code-for-Hawaii,Honolulu_ HI,https://plus.google.com/communities/116866725555175272325?banner=pwa,,,,,,,,,,
broadband_map_ruby,Ruby Wrapper for the Broadband Maps  API - http://broadbandmap.gov/developer,http://codeforamerica.org/api/projects/36207,https://github.com/codeforamerica/broadband_map_ruby,Ruby Wrapper for the Broadband Maps  API - http://broadbandmap.gov/developer,,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
kvb-api,,http://codeforamerica.org/api/projects/35131,https://github.com/KoelnAPI/kvb-api,,(null),OK Lab Köln,http://codeforamerica.org/api/organizations/OK-Lab-Köln,Cologne_ Germany,http://codefor.de/koeln,,,,,,,,,,
schoolcuts,,http://codeforamerica.org/api/projects/34116,https://github.com/amtamayo/schoolcuts,,schoolcuts.org,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
open-budget,Open Budgets for the City of Sacramento,http://codeforamerica.org/api/projects/33448,https://github.com/code4sac/open-budget,Open Budgets for the City of Sacramento,(null),Code for Sacramento,http://codeforamerica.org/api/organizations/Code-for-Sacramento,Sacramento_ CA,http://codeforsacramento.org/,,,,,,,,,,
odac-victim-empowerment,Road to Justice's Victim Empowerment project.,http://codeforamerica.org/api/projects/34985,https://github.com/Code4SA/odac-victim-empowerment,Road to Justice's Victim Empowerment project.,(null),Code for South Africa,http://codeforamerica.org/api/organizations/Code-for-South-Africa,Cape Town_ South Africa,http://www.code4sa.org/,,,,,,,,,,
where-we-work,visualizing Chicago employment data,http://codeforamerica.org/api/projects/34157,https://github.com/datamade/where-we-work,visualizing Chicago employment data,wherewework.org,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
government.github.com,Gather,curate,and feature stories of public servants and civic hackers using GitHub as part of their open government innovations,http://codeforamerica.org/api/projects/33326,https://github.com/codeforjapan/government.github.com,Gather,curate,and feature stories of public servants and civic hackers using GitHub as part of their open government innovations,http://government.github.com/,Code for Japan,http://codeforamerica.org/api/organizations/Code-for-Japan,Japan,http://code4japan.org,,,,,,
RTD,Apps and utilities to help make riding the bus easier,http://codeforamerica.org/api/projects/33479,https://github.com/CodeForBoulder/RTD,Apps and utilities to help make riding the bus easier,(null),Code for Boulder,http://codeforamerica.org/api/organizations/Code-for-Boulder,Boulder_ CO,http://codeforboulder.org/,,,,,,,,,,
Report-A-Rishwat,A Web Application for online reports concerning corruption.,http://codeforamerica.org/api/projects/34886,https://github.com/codeforpakistan/Report-A-Rishwat,A Web Application for online reports concerning corruption.,(null),Code for Pakistan,http://codeforamerica.org/api/organizations/Code-for-Pakistan,Lahore_ Pakistan,http://www.codeforpakistan.org/code-for-all-brigades.html,,,,,,,,,,
Gtfs2Sqlite,Convert GTFS to Sqlite,losslessly*,http://codeforamerica.org/api/projects/36751,https://github.com/atheken/Gtfs2Sqlite,Convert GTFS to Sqlite,losslessly*,(null),Code for Philly,http://codeforamerica.org/api/organizations/Code-for-Philly,Philadelphia_ PA,http://codeforphilly.org/,,,,,,,,
scrape-a-ris,Scrape-A-RIS is a scraper for assembly information systems (Ratsinformationssysteme) using Somacos SessionNet,written in Python.,http://codeforamerica.org/api/projects/33123,https://github.com/CodeforChemnitz/scrape-a-ris,Scrape-A-RIS is a scraper for assembly information systems (Ratsinformationssysteme) using Somacos SessionNet,written in Python.,(null),OK Lab Chemnitz,http://codeforamerica.org/api/organizations/OK-Lab-Chemnitz,Chemnitz_ Germany,http://codeforchemnitz.de,,,,,,,,
liveext,live channel for chrome extension,http://codeforamerica.org/api/projects/34504,https://github.com/g0v/liveext,live channel for chrome extension,(null),g0v.tw,http://codeforamerica.org/api/organizations/g0v.tw,Taipei_ Taiwan,http://g0v.tw/,,,,,,,,,,
TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,http://codeforamerica.org/api/projects/35915,https://github.com/CodeForAfrica/TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,(null),Code for Kenya,http://codeforamerica.org/api/organizations/Code-for-Kenya,Nairobi_ Kenya,http://code4kenya.org,,,,,,,,,,
TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,http://codeforamerica.org/api/projects/36044,https://github.com/CodeForAfrica/TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,(null),Code for Nigeria,http://codeforamerica.org/api/organizations/Code-for-Nigeria,Lagos_ Nigeria,http://code4nigeria.org,,,,,,,,,,
TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,http://codeforamerica.org/api/projects/35991,https://github.com/CodeForAfrica/TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,(null),Code for Africa,http://codeforamerica.org/api/organizations/Code-for-Africa,,http://www.codeforafrica.org/,,,,,,,,,,
TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,http://codeforamerica.org/api/projects/33199,https://github.com/CodeForAfrica/TIMBY_mobile,a secure and anonymous mobile application that citizen journalists can use to upload information relevant to land deals and resource extraction,(null),Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,,,,,
know-your-hood,Enable active citizens to access information that is relevant to their communities,aggregated from various open data sources including crime statistics,census data,election results and government spending reports.,http://codeforamerica.org/api/projects/34972,https://github.com/Code4SA/know-your-hood,Enable active citizens to access information that is relevant to their communities,aggregated from various open data sources including crime statistics,census data,election results and government spending reports.,(null),Code for South Africa,http://codeforamerica.org/api/organizations/Code-for-South-Africa,Cape Town_ South Africa,http://www.code4sa.org/,,,,
node-jade-amd,Helpers for working with Jade templates in an AMD setting,http://codeforamerica.org/api/projects/35804,https://github.com/mysociety/node-jade-amd,Helpers for working with Jade templates in an AMD setting,(null),mySociety,http://codeforamerica.org/api/organizations/mySociety,Oxford_ UK,https://www.mysociety.org/,,,,,,,,,,
wersindwir,Wer sind wir.  Eine kurze Vorstellung der Mitglieder von Code for Münster,http://codeforamerica.org/api/projects/35181,https://github.com/codeformuenster/wersindwir,Wer sind wir.  Eine kurze Vorstellung der Mitglieder von Code for Münster,(null),OK Lab Münster,http://codeforamerica.org/api/organizations/OK-Lab-Münster,Muenster_ Germany,http://codefor.de/muenster,,,,,,,,,,
Eventario-WP,¿Qué hay que hacer hoy en la CDMX?,http://codeforamerica.org/api/projects/33133,https://github.com/LabPLC/Eventario-WP,¿Qué hay que hacer hoy en la CDMX?,(null),Codigo para la Ciudad de Mexico,http://codeforamerica.org/api/organizations/Codigo-para-la-Ciudad-de-Mexico,Mexico City_ MX,http://codigo.labplc.mx,,,,,,,,,,
311DailyBrief,,http://codeforamerica.org/api/projects/36156,https://github.com/codeforamerica/311DailyBrief,,,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
wahlen,,http://codeforamerica.org/api/projects/35176,https://github.com/codeformuenster/wahlen,,http://codeformuenster.org/wahlen/,OK Lab Münster,http://codeforamerica.org/api/organizations/OK-Lab-Münster,Muenster_ Germany,http://codefor.de/muenster,,,,,,,,,,
sa-zone,Learn more about your home and neighborhood,http://codeforamerica.org/api/projects/36546,https://github.com/codeforamerica/sa-zone,Learn more about your home and neighborhood,sa-zone.herokuapp.com,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
blog,blog,http://codeforamerica.org/api/projects/34896,https://github.com/kodujdlapolski/blog,blog,(null),Code for Poland,http://codeforamerica.org/api/organizations/Code-for-Poland,Warsaw_ Poland,http://epf.org.pl/kodujdlapolski/,,,,,,,,,,
flu-shot-spec,(null),http://codeforamerica.org/api/projects/36339,https://github.com/codeforamerica/flu-shot-spec,(null),(null),Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
coro-fellows-training,Collaborative planning for a training session for Coro Fellows,delivered by Code for America.,http://codeforamerica.org/api/projects/36285,https://github.com/codeforamerica/coro-fellows-training,Collaborative planning for a training session for Coro Fellows,delivered by Code for America.,(null),Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,
open-data-smalltalk,Some slides of an open data smalltalk,http://codeforamerica.org/api/projects/33397,https://github.com/codeforpb/open-data-smalltalk,Some slides of an open data smalltalk,(null),OK Lab Padderborn,http://codeforamerica.org/api/organizations/OK-Lab-Padderborn,Paderborn_ Germany,http://codefor.de/paderborn/,,,,,,,,,,
straymapper,A web tool to help reunite more stray animals with their human companions,http://codeforamerica.org/api/projects/36583,https://github.com/codeforamerica/straymapper,A web tool to help reunite more stray animals with their human companions,straymapper.com,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
kandidatenliste,Karte mit den Kandidaten für die Kommunalwahl in Münster 2014,http://codeforamerica.org/api/projects/35160,https://github.com/codeformuenster/kandidatenliste,Karte mit den Kandidaten für die Kommunalwahl in Münster 2014,codeformuenster.org/kandidatenliste,OK Lab Münster,http://codeforamerica.org/api/organizations/OK-Lab-Münster,Muenster_ Germany,http://codefor.de/muenster,,,,,,,,,,
national_holidays,When is the next holiday in my country?,http://codeforamerica.org/api/projects/36445,https://github.com/codeforamerica/national_holidays,When is the next holiday in my country?,http://national-holidays.herokuapp.com/,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
strategic-plan,Code for DC Strategic Plan (FY 2014),http://codeforamerica.org/api/projects/34376,https://github.com/codefordc/strategic-plan,Code for DC Strategic Plan (FY 2014),(null),Code for DC,http://codeforamerica.org/api/organizations/Code-for-DC,Washington_ DC,http://codefordc.org/,,,,,,,,,,
workparty,WHEN YOU WORKPARTY,YOU MUST WORKPARTY HARD!,http://codeforamerica.org/api/projects/36632,https://github.com/codeforamerica/workparty,WHEN YOU WORKPARTY,YOU MUST WORKPARTY HARD!,(null),Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,
Haltestellen,http://codeforchemnitz.de/Haltestellen,http://codeforamerica.org/api/projects/33119,https://github.com/CodeforChemnitz/Haltestellen,http://codeforchemnitz.de/Haltestellen,(null),OK Lab Chemnitz,http://codeforamerica.org/api/organizations/OK-Lab-Chemnitz,Chemnitz_ Germany,http://codeforchemnitz.de,,,,,,,,,,
cfa_laptop,Configuration file for CfA Laptops,http://codeforamerica.org/api/projects/36233,https://github.com/codeforamerica/cfa_laptop,Configuration file for CfA Laptops,,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
adopt-a-light,Adopt-a-hydrant app heavily modified for streetlights.,http://codeforamerica.org/api/projects/33421,https://github.com/code4sac/adopt-a-light,Adopt-a-hydrant app heavily modified for streetlights.,(null),Code for Sacramento,http://codeforamerica.org/api/organizations/Code-for-Sacramento,Sacramento_ CA,http://codeforsacramento.org/,,,,,,,,,,
CityCampLex,Website for CityCamp Lexington,http://codeforamerica.org/api/projects/35219,https://github.com/openlexington/CityCampLex,Website for CityCamp Lexington,http://citycamplex.org,Open Lexington,http://codeforamerica.org/api/organizations/Open-Lexington,Lexington_ KY,http://openlexington.org/,,,,,,,,,,
beautyInDayton,Take pictures around dayton and donate them to the city for points,http://codeforamerica.org/api/projects/33300,https://github.com/codefordayton/beautyInDayton,Take pictures around dayton and donate them to the city for points,(null),Code for Dayton,http://codeforamerica.org/api/organizations/Code-for-Dayton,Dayton_ OH,http://codefordayton.org/,,,,,,,,,,
history,An adventure through Dayton's history with a text based interface,http://codeforamerica.org/api/projects/33312,https://github.com/codefordayton/history,An adventure through Dayton's history with a text based interface,,Code for Dayton,http://codeforamerica.org/api/organizations/Code-for-Dayton,Dayton_ OH,http://codefordayton.org/,,,,,,,,,,
wahlprogramme2014,,http://codeforamerica.org/api/projects/35179,https://github.com/codeformuenster/wahlprogramme2014,,(null),OK Lab Münster,http://codeforamerica.org/api/organizations/OK-Lab-Münster,Muenster_ Germany,http://codefor.de/muenster,,,,,,,,,,
